smiles,minimizedAffinity
Cc1nn(C)c2cc(N(C)c3ccnc(Nc4cccc([S@SP](N)(=O)=O)c4)n3)ccc12,-9.4398737
Fc1cccc(COc2ccc(Nc3ncnc4ccc(-c5cc[c]o5)cc34)cc2Cl)c1.[CH2].[CH2].[CH2]C.[CH2]C[S@SP](C)(=O)=O.[N],-12.4587774
COC(=O)Nc1nc2ccc([S@SP](=O)(=O)c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)cc2[nH]1,-9.54718876
[CH2].[CH2].[CH2].[CH2]/[C]=C(\[C][N])C(=S)NC(=O)c1ccccc1F.[C],-7.79083252
Nc1nonc1[C][N]c1[c]ccnc1.[CH2].[CH2].[CH2]N(C)C.[N],-8.17139339
COc1cccc(-n2ncc3c2[N]C=N[C]3N/N=C/c2cccc(F)c2)c1,-9.11640072
[CH2].[CH2]Oc1[c]ccc(Nc2nccc(-c3c(-c4ccc(F)cc4)nn4ncccc34)n2)c1.[O],-10.0930004
C[CH]C.[C].[H]/[C]=C/C(=C\[CH])c1cc(-c2c[nH]nc2-c2ccccn2)ccn1,-8.8194046
[N][C]c1cccc(Nc2ncc(-c3ccccc3)o2)c1,-7.62781143
[CH2].[CH2][NH].[CH2][S@SP](C)(=O)=O.[C][CH]/C=C(\[O])c1ccc2ncnc(Nc3ccc(OCc4ccccc4)c(Br)c3)c2c1,-12.1519985
COc1cccc(-c2c[nH]c3c2[N]C=N[C]3N/N=C/c2ccncc2)c1,-9.13226795
[N][C]c1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,-8.59313774
C[CH]C.[c]1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,-8.38659286
c1ccc(Nc2ncc(-c3ccccc3)o2)cc1,-7.16004181
C[CH]C.N[S@SP](=O)(=O)c1ccc(N/N=C2/C(=O)Nc3c[c]ccc32)cc1,-8.8106451
COC(=O)c1ccc2c(c1)/C(=C/c1cc(Br)c(O)c(Br)c1)C(=O)N2,-8.18697834
[CH2].[CH3].[C]C(=O)Nc1n[nH]c2nc(-c3ccc(OC)cc3)ccc12,-8.03959274
COc1cccc(-c2cnc(Nc3cc([S]=O)ccc3OC)o2)c1.[CH2]C.[O],-8.31929016
N[S@SP](=O)(=O)c1ccc(N/N=C2\C(=O)Nc3cccc(CCc4ccncc4)c32)cc1,-9.56728745
NC(=O)c1ccc2c(-c3ccnc(NCCCO)n3)c(-c3ccc(F)cc3)nn2c1,-9.84068012
[CH2].[CH2].[CH2].[CH2].[CH2]CCn1cnc(-c2ccc(F)cc2)c1C1=C[CH]N=C(N)[N]1.[N].[O],-9.82506847
[CH2]c1ccccc1.[O].[c]1ccc(N[C]2N=C[N]c3ccc(-c4ccco4)cc32)cc1,-10.2498236
[CH2].[CH2].[CH2][N]C.[CH2][N][CH2].[CH]/C=C(\[O])c1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1.[C],-10.8572264
[CH2]Oc1cc(-c2[nH]c(-c3ccc(C(N)=O)cc3)nc2-c2ccccn2)ccc1[O],-8.40336514
Cc1cc(Cl)cc2c1NC(=O)/C2=N\Nc1ccc([S@SP](N)(=O)=O)cc1,-8.61028385
O=C1NC(=O)C(c2ccccc2Cl)=C1Nc1cccc(O)c1,-7.51853514
Cc1cccc(Nc2ncc(-c3ccccc3)o2)c1,-7.51187134
COc1c[c]ccc1NC1=N[C](Nc2ccc(F)cc2C(N)=O)c2cc[nH]c2[N]1.[CH2].[CH2].[CH2][N].[CH2][N]C(C)C,-8.5479002
COc1cc2ncn(-c3cc(OCc4ccccc4[S@SP](C)(=O)=O)c([C][N])s3)c2cc1OC,-9.22719097
Fc1cccc(COc2ccc(N[C]3N=C[N]c4sc(-c5c[c]sc5)cc43)cc2Cl)c1.[CH2].[CH2][NH].[CH2][S@SP](C)(=O)=O,-11.1467571
[CH2].[CH2].[CH2].[CH2].[CH2].[CH2]/[C]=C(\[C][N])C(=S)NC(=O)C[N][CH2].[CH2][O].[C],-7.82263088
NC(=O)c1cccc(Nc2nccc(Nc3cccc(F)c3)n2)c1,-7.54414797
COC(=O)Nc1nc2ccc(Oc3ccc(NC(=O)Nc4c[c]ccc4)cc3)cc2[nH]1.[CH2]C,-9.80471706
COc1cc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2cc1OC,-9.37390804
Fc1ccc(Nc2nccc(-c3c(-c4ccc(C(F)(F)F)cc4)nn4ncccc34)n2)cc1F,-10.1408768
C[CH]c1ccccc1Cl.C[N].[CH2].[CH2].[CH2].[CH2].[CH]Oc1ccc2ncn(-c3cc([O])c(C(N)=O)s3)c2c1,-10.7404356
[CH2].[CH2]C.[NH]c1cccc(-n2ncc3c2[N]C=N[C]3N/N=C/c2ccncc2)c1,-9.8705759
c1ccc(-c2n[nH]cc2-c2ccnc(-c3ccc(OCCn4ccnc4)cc3)c2)nc1,-9.88944244
NC1=N[CH]N=C2OC=C(c3ccc(NC(=O)Nc4cc(C(F)(F)F)cc(C(F)(F)F)c4)cc3)[C]12,-10.2435627
Cc1cc(O)cc(C)c1/C=C/c1cncc(C(=O)N(C)C)c1,-8.24549866
Cc1ccc(O)cc1Nc1ccnc2ccc([S@SP](C)(=O)=O)cc12,-8.3757925
Nc1nc(-c2ccc3c(c2)/C(=C/c2cc(Br)c(O)c(Br)c2)C(=O)N3)cs1,-9.23626423
[CH2]C(C)(C)CO.[NH]C(=O)c1ccc2c(c1)/C(=N/Nc1ccc([S@SP](N)(=O)=O)cc1)C(=O)N2,-9.73882961
[CH2].[CH]OC(=O)N(C)C.[CH][CH2].[C].[C]c1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1.[NH],-10.442482
COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c([C](C)[O])s3)c2cc1OC,-9.39894867
COc1ccc(-c2coc3ncnc(N)c23)cc1,-6.74896717
COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(=O)N(C)C)s3)c2cc1OC,-8.65888977
CCn1c(-c2nonc2N)nc2c1[CH]C=NC2=O.[CH2]C,-8.28885555
[CH2].[CH2].[CH2][S@SP](=O)(=O)c1ccccc1.[C]/C=C\[C]([O])c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1.[NH],-12.6200552
C=NC.C[CH]c1ccccc1Cl.[CH2].[CH2].[CH2].[CH2]Oc1ccc2ncn(-c3cc([O])c(C(N)=O)s3)c2c1.[CH],-11.1228399
COc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,-9.33694744
COc1cc(NC2=N[CH]c3c(C)nc(-c4cccc(Oc5ccccc5)c4)n3[N]2)cc(OC)c1OC,-9.0061655
CC(C)(O)C#CC1=NC(=O)C=[C][C]1[N][C]c1nonc1N.N[CH]c1ccccc1.[CH2].[CH2]C.[N],-10.1145105
Cc1cc(O)cc(C)c1/C=C/c1cncc(C(=O)OC(C)(C)C)c1,-8.37434483
Fc1ccc(Nc2ncnc3ccc(-c4cs[c]n4)cc23)cc1Cl.[CH2].[CH2].[CH2][S@SP](C)(=O)=O.[NH],-10.7749062
COc1cc(Nc2ncc(-c3ccccc3)o2)cc(OC)c1,-7.58360052
CC(C)(O)C#CC1=C([N][C]c2nonc2N)[C]=CC(=O)[N]1.N[CH]c1ccccc1.[CH2].[CH2]C.[N],-10.5664434
[CH2].[CH3].[C].[O][C]Nc1n[nH]c2cc(-c3ccc(F)cc3)ccc12,-8.94167709
Cc1cc(-c2ccco2)cc(C)c1/C=C/c1cncc(C2=N[N]N[N]2)c1,-9.38409138
Nc1ncc(-c2cccc([S@SP](N)(=O)=O)c2)c2scc(-c3ccc(F)c(Cl)c3)c12,-8.9676342
[CH2].[CH2].[CH2].[CH2].[CH2][N]C([O])=O.[CH].[CH][CH2].[C][C]c1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1.[NH].[O],-11.4454098
Nc1nonc1[C][N]c1[c]cc(F)cc1.[CH2]C.[N],-7.73024559
Nc1nc(-c2cccc(Cl)c2)c(-c2ccc3ncccc3n2)s1,-8.16638756
COc1ccc([C]2OC3=NC=N[C](N)C3=C2c2ccc(NC(=O)Nc3cc(C(F)(F)F)ccc3F)cc2)cc1,-9.5454998
NC(=O)c1cc(-c2ccncc2)cc(-c2ccccc2)c1N,-7.77826023
COc1ccccc1-c1cc(/C=C2\C(=O)Nc3ncc(Br)cc32)cc(Br)c1O,-8.68105316
[CH2]c1cccc(F)c1.[O]c1ccc(N[C]2N=C[N]c3cc(-c4ccc[nH]4)sc32)cc1Cl,-11.6690807
[CH2].[CH2].[CH2][S@SP](C)(=O)=O.[C][CH]/C=C(\[O])c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(C(F)(F)F)c3)c2c1.[NH],-12.3668575
Cc1cc(-c2ccccn2)cc(C)c1/C=C/c1cncc(C2=N[N]N[N]2)c1,-9.41428661
[CH2].[CH2].[CH2]N(C)C.[CH2]c1[c]ccc(-c2[nH]c(-c3cc[c]cc3)nc2-c2ccncc2)c1.[C].[N]O.[O],-9.62223625
[CH2].[CH2].[CH2]N(C(=O)CN(C)C)c1[c]cc(OC)c(NC2=N[C](Nc3ccsc3C(N)=O)c3cc[nH]c3[N]2)c1,-8.65590477
[CH2].[CH2]Oc1[c]ccc(Nc2nccc(-c3c(-c4ccc(OC)cc4)nn4ncccc34)n2)c1.[O],-10.017067
CC(C)(O)C#Cc1ncc([O])[c]c1[N][C]c1nonc1N.[CH2].[CH2].[CH2].[CH2].[CH2]C.[CH].[NH].[N],-9.0802002
[CH2].[CH]OC(=O)N(C)C.[CH][CH2].[C][C]c1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1.[NH],-10.8002367
CNCCNC(=O)c1[c]c([N][C]c2nonc2N)cnc1.[CH2]C.[N],-8.57717896
COc1cc2ncn(-c3c[c]c(C(N)=O)s3)c2cc1OC.C[CH]c1ccccc1Cl.[O],-8.8065033
C=N[S@SP](=O)(=O)c1ccc(-c2cc(-c3ccc(F)cc3)cc(C(=O)NC)c2N)cc1.[CH2].[CH2].[CH2],-9.18712139
Clc1[c]ccc(N[C]2N=C[N]c3sc(-c4cccs4)cc32)c1.[CH2]c1cccc(F)c1.[O],-10.2643433
COc1cc[c]cc1Nc1ncc(-c2ccccc2Cl)o1.[CH2]C.[O].[O].[S],-8.07985401
Cc1c2ccc(N(C)c3ccnc(Nc4cccc([S@SP](N)(=O)=O)c4)n3)cc2nn1C,-9.32714367
COc1cccc(-n2ncc3c2[N]C=N[C]3N/N=C/c2ccc(C(=O)NCCN(C)C)cc2)c1,-9.11453152
Cn1c(-c2nonc2N)nc2cnccc21,-6.66069651
[CH2].[CH2]Oc1cc(Nc2nccc(-c3c(-c4ccc(C(F)(F)F)cc4)nn4nc(C)ccc34)n2)ccc1[O],-10.5848255
COc1cc(Cl)c([O])cc1NC1=N[C](Nc2cccc(F)c2C(N)=O)c2cc[nH]c2[N]1.[CH2].[CH2].[CH2].[CH2].[CH2].[CH2]C.[CH].[N],-8.74810982
O=C(Nc1ccc(Oc2ccc3n[c][nH]c3c2)cc1)Nc1cc(C(F)(F)F)ccc1F.[CH2].[CH2].[CH2].[CH2].[CH2][N]C.[CH2][N][CH2].[NH],-11.4121408
COc1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,-8.62702274
[CH2].[CH2].[CH2][S@SP](C)(=O)=O.[CH]/C=C(\[O])c1ccc2ncnc(Nc3ccc(OCc4cccc(C(F)(F)F)c4)cc3)c2c1.[C].[NH],-11.7882233
COc1cc(Nc2nccc(-c3cnn4ncccc34)n2)cc(OC)c1,-7.79863882
C[S@SP](=O)(=O)Nc1ccc(-c2cc(-c3ccccc3)cc(C(N)=O)c2N)cc1,-8.39505291
[CH2].[CH2].[CH2].[CH2][O].[N]CCCNc1nccc(-c2cnn3ncccc23)n1,-10.3141565
OCCNc1nccc(C2=C(c3ccc(F)cc3)[N]C=N2)n1.[CH2].[CH2].[CH2].[CH2].[CH3].[CH].[N],-8.25420094
Fc1ccc(-c2cc(-c3c[nH]nc3-c3ccccn3)ccn2)cc1,-8.76947308
COc1ccc(-c2cc3c(N)ncnc3o2)cc1,-7.59776974
CC(=O)Nc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)n1,-10.1397247
N[S@SP](=O)(=O)c1ccc(Nc2ncc(-c3ccccc3)o2)cc1,-7.93003178
COc1cc2ncn(-c3c[c]c(C(N)=O)s3)c2cc1OC.C[CH]c1ccccc1Cl.[O],-8.9805727
Cc1nnc(-c2ccc(C)c(-c3ccc(C(=O)NCc4ccc(Cl)cc4)cc3)c2)o1,-10.7224169
N[S@SP](=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc4ncccc4c32)cc1,-9.03485394
NC1=N[CH]N=C2OC=C(c3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)[C]12,-9.85417938
O=C(Nc1ccc(Oc2ccc3[nH]c(NC(=O)c4ccco4)nc3c2)cc1)Nc1cc(C(F)(F)F)ccc1F,-10.1708536
[CH2].[CH2]Oc1cc(Nc2nccc(-c3cnn4ncccc34)n2)ccc1[O],-8.98636436
[CH2].[CH2].[CH2].[CH2].[CH2]C.[CH2][N].[CH].[O][C]Nc1n[nH]c2nc(-c3cccs3)c(Br)cc12,-8.86123753
Cc1n[nH]c2ccc(N[C][O])cc12.[CH2][CH]c1ccc(C(F)(F)F)cc1.[C].[C].[H]/N=[C]\C.[O],-9.81171608
N[S@SP](=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc(C(=O)NCCCn4ccnc4)cc32)cc1,-10.1332026
[CH2].[CH2].[CH2].[CH2].[CH2][NH].[CH]c1nc(-c2c[c]c(/C([CH2])=N/O)cc2)c(-c2ccncc2)[nH]1,-9.30411053
Clc1ccc(-c2nn3ncccc3c2-c2ccnc(Nc3ccccc3)n2)cc1,-8.34566784
[CH2].[CH2].[C][N][C](/C(=N/[CH2])c1cc[c]c(O[CH2])c1)c1ccccn1.[O],-8.04165745
COc1cc(Nc2ncc(-c3ccccc3)o2)cc(OC)c1OC,-7.55238247
[CH2].[CH2]Oc1[c]ccc(NC2=N[CH]C=C(c3c(-c4ccc(C(F)(F)F)cc4)nn4ncccc34)[N]2)c1.[O],-9.65800858
COc1ccc2cc(-c3c(-c4ccncc4)nc(-c4ccc([S@SP](C)(=O)=O)cc4C)n3C)ccc2c1,-8.0391407
COc1cc(C)c(NC(=O)CN(C)C)cc1NC1=N[C](Nc2cccc(F)c2C(N)=O)c2cc[nH]c2[N]1,-7.95658493
CC[N].[CH2].[CH2]C.[c]1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,-9.86326408
[CH2].[CH2].[CH2]N(C)C.[CH2]c1[c]ccc(-c2cc(-c3cc[c]cc3)oc2-c2ccncc2)c1.[C].[N]O.[O],-9.81578255
[CH2].[CH2].[CH2]N=C.[CH2][S]=O.[CH]/C=C(\[O])c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1.[C],-11.5931664
[CH2].[CH2]C.[CH3].[C]CNC(=O)c1ccc(-c2cc(N[C][O])ccc2C)cc1,-9.16784859
N[S@SP](=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc(Cl)cc32)cc1,-8.32841587
COc1cc2ncn(-c3cc(OCc4ccccc4Cl)c(C(N)=O)s3)c2cc1OC,-8.92084599
[CH2]N.[H]/[C]=C/[C](/C=C\[C])c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1,-8.727911
NC(=O)c1sc(-n2cnc3ccc(C(F)(F)F)cc32)cc1OCc1ccccc1Br,-10.1154509
[CH2].[CH2].[CH2].[CH2][O].[CH3].[C]CNC(=O)c1ccc(-c2cc(NC(=O)c3ccnc([N][CH2])c3)ccc2C)cc1,-10.6996317
[CH2].[CH2].[CH2].[CH2]C.[CH2][N].[CH2]c1c[c]c([N][C]c2nonc2N)c(C#CC(C)(C)O)n1.[N],-8.97990894
NC(=O)c1sc(-n2cnc3ccccc32)cc1OCc1ccccc1Br,-9.1230011
[O][C](c1ccc2c(c1)/C(=C/c1cc(Cl)c(O)c(Cl)c1)C(=O)N2)c1ccco1,-8.8238802
CNCCOc1c[c]c([N][C]c2nonc2N)c(C#CC(C)(C)O)n1.[CH2]C.[N],-8.86352634
Cc1ccc(C([NH])=O)cc1-c1ccc2[nH]ncc2c1.[CH2].[CH3].[C],-8.84388351
[CH2].[CH2].[CH2].[CH2]CNC(=O)Nc1ccc(N(C)c2ccnc(Nc3ccc(C[S@SP](C)(=O)=O)cc3)n2)cc1.[CH2][O].[N],-10.2490368
COc1ccc(-c2ccncc2)cc1C(N)=O,-7.22898102
Nc1nc(-c2ccccn2)c(-c2ccc3ncccc3n2)s1,-7.4701376
CNC(=O)c1cncc(/C=C/c2ccccc2Cl)c1,-7.76397181
COc1cc(/C=N/N[C]2N=C[N]c3[nH]ncc32)ccc1O,-7.71220589
Cc1cccc(-c2n[nH]cc2-c2ccc3ncccc3n2)n1,-7.8501296
c1ccc(Oc2ccc(Nc3ncc(-c4ccccc4)o3)cc2)cc1,-8.46690464
COc1cc[c]cc1Nc1ncc(-c2cccc([C](C)[O])c2)o1.O=S.[CH2]C.[O],-8.5911684
C[CH]c1ccccc1Cl.O[CH]CO.[CH2]Oc1ccc2ncn(-c3cc([O])c(C(N)=O)s3)c2c1,-11.0109854
[CH2].[CH2][NH].[CH2][S@SP](C)(=O)=O.[c]1coc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2)c1,-11.5431194
Cc1nnc(-c2ccc(C)c(-c3ccc([C][O])cc3)c2)o1.[CH2]c1ccc(OC)cc1.[NH],-10.4308119
CC(C)(O)C#Cc1n[c]c[c]c1[N][C]c1nonc1N.NC[CH]c1ccccc1.[CH2]C.[N].[O],-10.8825569
COc1ccc(-c2nn3ncccc3c2-c2ccnc(Nc3ccc(Cl)c(C(F)(F)F)c3)n2)cc1,-8.62777805
N[S@SP](=O)(=O)c1cccc(-c2ccc3c(N[C][O])n[nH]c3c2)c1.[CH2].[CH3].[C],-9.51212788
O=C1NC(=O)C(c2cccc([N+](=O)[O-])c2)=C1Nc1cc(Cl)c(O)c(Cl)c1,-7.92198133
CN(c1ccc(NC(=O)Nc2ccc(OC(F)(F)F)cc2)cc1)c1ccnc(Nc2cccc([S@SP](N)(=O)=O)c2)n1,-8.5350256
COc1ccc2cc(-c3c(-c4ccncc4)nc(-c4ccc(S(C)=O)cc4C)n3C)ccc2c1,-7.94418526
COc1cc(Nc2nccc(Nc3ccc4c(C)n[nH]c4c3)n2)cc(OC)c1OC,-7.59419394
[CH2].[CH3].[C]C(=O)Nc1n[nH]c2cc(-c3cccc(N[S@SP](C)(=O)=O)c3)ccc12,-9.38059425
[CH2].[CH2].[CH2][N]C(C)C.[CH2][N]c1ccc(NC2=N[C](Nc3cccc4ncccc34)c3cc[nH]c3[N]2)c(OC)c1,-9.40870762
COc1ccc2ncn(-c3c[c]c(C(N)=O)s3)c2c1.C[CH]c1ccccc1Cl.[O],-9.25442314
